ropa_id,batch_no,subdivision,prop_location,prop_type,tct_cct_no,lot_area,floor_area,min_sellprice,occupancy,status,status_bid,disposal_type,start_datetime,end_datetime,appr_date,inspection_date,ins_remarks,remarks,city_muni,handling_hbc,contact_hbc,email_hbc,survey_no,city_searched
804619083000036,15315,BELAIR SUBDIVISION,"Lot 2362-E BELAIR SUBDIVISION BARANGAY 10 (POB.), CITY OF LUCENA, QUEZON, 4301",Single Detached,T-45741,298,211.5,2324500,Occupied,1,5,Negotiated Sale,2026-07-13T00:00:00,2026-07-17T23:59:00,03/07/2026 00:00:00,02/11/2026 00:00:00,"13.92919,121.61819",OCCUPIED - TITLE UNDER CONSOLIDATION,CITY OF LUCENA,CALAMBA HOUSING HUB,(02)8422-3000 local 6410 or 6403,"edmacale@pagibigfund.gov.ph, abbergancia@pagibigfund.gov.ph",,CITY OF LUCENA
804619073100004,15315,EXECUTIVE VILLAGE                                 ,"Lot 10 Blk. 18 Section QU EXECUTIVE VILLAGE MAYAO KANLURAN, CITY OF LUCENA, QUEZON, 4301",Single Detached,T-151669,279,54,2552000,Occupied,1,5,Negotiated Sale,2026-07-13T00:00:00,2026-07-17T23:59:00,03/26/2025 00:00:00,05/01/2024 00:00:00,,OCCUPIED - TITLE UNDER HDMF,CITY OF LUCENA,CALAMBA HOUSING HUB,(02)8422-3000 local 6410 or 6403,"edmacale@pagibigfund.gov.ph, abbergancia@pagibigfund.gov.ph",PSD-105896,CITY OF LUCENA
846202311300009,15316,VILLAGE OF ST JUDE EAST,"Lot 23 Blk. 6 Phase 4A VILLAGE OF ST JUDE EAST MAYAO CROSSING, CITY OF LUCENA, QUEZON, 4301",Town House,073-2017004039,65,80,2993600,Occupied,1,5,Negotiated Sale,2026-07-20T00:00:00,2026-07-24T23:59:00,10/21/2024 00:00:00,08/07/2024 00:00:00,,OCCUPIED - TITLE UNDER CONSOLIDATION,CITY OF LUCENA,CALAMBA HOUSING HUB,(02)8422-3000 local 6410 or 6403,"edmacale@pagibigfund.gov.ph, abbergancia@pagibigfund.gov.ph",PSD-04-246966,CITY OF LUCENA
846201911190007,15316,VILLAGE OF ST. JUDE                               ,"Lot 9 Blk. 18 Phase 2A VILLAGE OF ST. JUDE MAYAO CROSSING, CITY OF LUCENA, QUEZON, 4301",Single Attached,073-2021000199,143,183.2,5207700,Occupied,1,5,Negotiated Sale,2026-07-20T00:00:00,2026-07-24T23:59:00,05/13/2026 00:00:00,09/03/2020 00:00:00,,OCCUPIED - TITLE UNDER HDMF,CITY OF LUCENA,CALAMBA HOUSING HUB,(02)8422-3000 local 6410 or 6403,"edmacale@pagibigfund.gov.ph, abbergancia@pagibigfund.gov.ph",PCS-04-016369,CITY OF LUCENA
804619022000002,15316,,"Lot D-3 HIMBUBULO ESTE, GUINAYANGAN, QUEZON, 4319",Single Detached,T-513955,100,43.05,517299,Occupied,1,5,Negotiated Sale,2026-07-20T00:00:00,2026-07-24T23:59:00,12/05/2025 00:00:00,03/17/2023 00:00:00,"13.887028,122.456950",OCCUPIED - TITLE UNDER HDMF,GUINAYANGAN,CALAMBA HOUSING HUB,(02)8422-3000 local 6410 or 6403,"edmacale@pagibigfund.gov.ph, abbergancia@pagibigfund.gov.ph",PSD-04-146863,GUINAYANGAN
846202309270036,15316,KRISANTA VILLAGE                                  ,"Lot 1 Blk. 14 Phase III KRISANTA VILLAGE TALIPAN, PAGBILAO, QUEZON, 4302",Single Attached,T-417319,64,30,419572,Occupied,1,5,Negotiated Sale,2026-07-20T00:00:00,2026-07-24T23:59:00,06/04/2026 00:00:00,10/25/2023 00:00:00,,OCCUPIED - TITLE UNDER CONSOLIDATION,PAGBILAO,CALAMBA HOUSING HUB,(02)8422-3000 local 6410 or 6403,"edmacale@pagibigfund.gov.ph, abbergancia@pagibigfund.gov.ph",PCS-04-015490,PAGBILAO
804619111800004,15315,INTERTOWN HOMES,"Lot 19 Blk. 06 Phase 1 INTERTOWN HOMES BUKAL, PAGBILAO, QUEZON, 4302",Double Attached,T-204812,120,97.5,1731800,Occupied,1,5,Negotiated Sale,2026-07-13T00:00:00,2026-07-17T23:59:00,11/20/2024 00:00:00,02/26/2020 00:00:00,,OCCUPIED - TITLE UNDER CONSOLIDATION,PAGBILAO,CALAMBA HOUSING HUB,(02)8422-3000 local 6410 or 6403,"edmacale@pagibigfund.gov.ph, abbergancia@pagibigfund.gov.ph",PCS-04-001974,PAGBILAO
846202309270004,15315,,"Lot 02 SAMPAGUITA, SAN ANTONIO, QUEZON, 4324",Lot Only,066-2013001626,850,0,4250000,Occupied,1,5,Negotiated Sale,2026-07-13T00:00:00,2026-07-17T23:59:00,01/05/2026 00:00:00,12/12/2023 00:00:00,,OCCUPIED - TITLE UNDER CONSOLIDATION,SAN ANTONIO,CALAMBA HOUSING HUB,(02)8422-3000 local 6410 or 6403,"edmacale@pagibigfund.gov.ph, abbergancia@pagibigfund.gov.ph",PCS-04-023109,SAN ANTONIO
846202504300003,15315,LUMINA SARIAYA,"Lot 18 Blk. 15 LUMINA SARIAYA SAMPALOC 1, SARIAYA, QUEZON, 4322",Row House,066-2019013274,36,22,678900,Occupied/Closed,1,5,Negotiated Sale,2026-07-13T00:00:00,2026-07-17T23:59:00,01/09/2025 00:00:00,05/19/2025 00:00:00,,OCCUPIED/CLOSED - TITLE UNDER CONSOLIDATION,SARIAYA,CALAMBA HOUSING HUB,(02)8422-3000 local 6410 or 6403,"edmacale@pagibigfund.gov.ph, abbergancia@pagibigfund.gov.ph",PSD-04-251324,SARIAYA
846202412270002,15316,LUMINA SARIAYA,"Lot 4 Blk. 24 LUMINA SARIAYA SAMPALOC 1, SARIAYA, QUEZON, 4322",Row House,066-2019013698,36,22,697600,Unoccupied,1,5,Negotiated Sale,2026-07-20T00:00:00,2026-07-24T23:59:00,10/08/2024 00:00:00,03/12/2025 00:00:00,,UNOCCUPIED - TITLE UNDER CONSOLIDATION,SARIAYA,CALAMBA HOUSING HUB,(02)8422-3000 local 6410 or 6403,"edmacale@pagibigfund.gov.ph, abbergancia@pagibigfund.gov.ph",PSD-04-251324,SARIAYA
846202408290003,15316,LUMINA SARIAYA,"Lot 27 Blk. 24 LUMINA SARIAYA SAMPALOC 1, SARIAYA, QUEZON, 4322",Row House,066-2019013721,36,22,772520,Unoccupied,1,5,Negotiated Sale,2026-07-20T00:00:00,2026-07-24T23:59:00,04/15/2025 00:00:00,09/23/2024 00:00:00,,UNOCCUPIED - TITLE UNDER CONSOLIDATION,SARIAYA,CALAMBA HOUSING HUB,(02)8422-3000 local 6410 or 6403,"edmacale@pagibigfund.gov.ph, abbergancia@pagibigfund.gov.ph",PSD-04-251324,SARIAYA
846202407300008,OPA1520097,LEVERIZA HEIGHTS SUBDIVISION,"Lot 6 Blk. 3 Phase III LEVERIZA HEIGHTS SUBDIVISION ISABANG, TAYABAS CITY, QUEZON, 4327",Row House,066-2013002938,50,30,637176,Occupied/Closed,1,5,2nd Public Auction,2026-07-13T00:00:00,2026-07-17T23:59:00,01/14/2026 00:00:00,03/12/2025 00:00:00,,OCCUPIED/CLOSED - TITLE UNDER CONSOLIDATION,TAYABAS CITY,CALAMBA HOUSING HUB,(02)8422-3000 local 6410 or 6403,"edmacale@pagibigfund.gov.ph, abbergancia@pagibigfund.gov.ph",PSD-04-166644,TAYABAS CITY
846202411260012,OPA1520098,VILLA CZARINA SUBDIVISION,"Lot 4 Blk. 13 VILLA CZARINA SUBDIVISION DOMOIT KANLURAN, TAYABAS CITY, QUEZON, 4327",Town House,066-2016008015,48,42.4,1214640,Occupied/Closed,1,5,2nd Public Auction,2026-07-20T00:00:00,2026-07-24T23:59:00,06/17/2026 00:00:00,03/12/2025 00:00:00,,OCCUPIED/CLOSED - TITLE UNDER CONSOLIDATION,TAYABAS CITY,CALAMBA HOUSING HUB,(02)8422-3000 local 6410 or 6403,"edmacale@pagibigfund.gov.ph, abbergancia@pagibigfund.gov.ph",PCS-04-029562,TAYABAS CITY
846202310270002,OPA1520098,VILLA CZARINA SUBDIVISION,"Lot 17 Blk. 3 VILLA CZARINA SUBDIVISION DOMOIT KANLURAN, TAYABAS CITY, QUEZON, 4327",Town House,066-2016007761,40,48,1296090,Occupied/Closed,1,5,2nd Public Auction,2026-07-20T00:00:00,2026-07-24T23:59:00,06/17/2026 00:00:00,12/22/2023 00:00:00,,OCCUPIED/CLOSED - TITLE UNDER CONSOLIDATION,TAYABAS CITY,CALAMBA HOUSING HUB,(02)8422-3000 local 6410 or 6403,"edmacale@pagibigfund.gov.ph, abbergancia@pagibigfund.gov.ph", PCS-04-029562,TAYABAS CITY
846202405290009,15315,LUMINA QUEZON,"Lot 16 Blk. 43 Phase 2 LUMINA QUEZON ISABANG, TAYABAS CITY, QUEZON, 4327",Row House,066-2017013987,36,22,548200,Occupied,1,5,Negotiated Sale,2026-07-13T00:00:00,2026-07-17T23:59:00,04/15/2025 00:00:00,07/24/2024 00:00:00,,OCCUPIED - TITLE UNDER CONSOLIDATION,TAYABAS CITY,CALAMBA HOUSING HUB,(02)8422-3000 local 6410 or 6403,"edmacale@pagibigfund.gov.ph, abbergancia@pagibigfund.gov.ph",PCS-04-030944,TAYABAS CITY
846202303030001,15316,VILLA CZARINA SUBDIVISION,"Lot 24 Blk. 16 VILLA CZARINA SUBDIVISION DOMOIT KANLURAN, TAYABAS CITY, QUEZON, 4327",Row House,066-2016008112,28,25.68,593000,Occupied,1,5,Negotiated Sale,2026-07-20T00:00:00,2026-07-24T23:59:00,06/17/2026 00:00:00,08/09/2023 00:00:00,,OCCUPIED - TITLE UNDER CONSOLIDATION,TAYABAS CITY,CALAMBA HOUSING HUB,(02)8422-3000 local 6410 or 6403,"edmacale@pagibigfund.gov.ph, abbergancia@pagibigfund.gov.ph",PCS-04-029562,TAYABAS CITY
846202412270001,15316,LUMINA QUEZON,"Lot 12 Blk. 33 Phase 2 LUMINA QUEZON ISABANG, TAYABAS CITY, QUEZON, 4327",Row House - End with Firewall,066-2017013746,50,22,618900,Occupied/Closed,1,5,Negotiated Sale,2026-07-20T00:00:00,2026-07-24T23:59:00,11/06/2024 00:00:00,01/08/2025 00:00:00,,OCCUPIED/CLOSED - TITLE UNDER CONSOLIDATION,TAYABAS CITY,CALAMBA HOUSING HUB,(02)8422-3000 local 6410 or 6403,"edmacale@pagibigfund.gov.ph, abbergancia@pagibigfund.gov.ph",PCS-04-030944,TAYABAS CITY
846202403190003,15316,LEVERIZA HEIGHTS SUBDIVISION                      ,"Lot 48 Blk. 19 LEVERIZA HEIGHTS SUBDIVISION ISABANG, TAYABAS CITY, QUEZON, 4327",Row House,066-2019001065,60,30,775400,Occupied/Closed,1,5,Negotiated Sale,2026-07-20T00:00:00,2026-07-24T23:59:00,01/14/2026 00:00:00,03/22/2024 00:00:00,,OCCUPIED/CLOSED - TITLE UNDER CONSOLIDATION,TAYABAS CITY,CALAMBA HOUSING HUB,(02)8422-3000 local 6410 or 6403,"edmacale@pagibigfund.gov.ph, abbergancia@pagibigfund.gov.ph",PCS-04-027625,TAYABAS CITY
846202306220030,15315,LEVERIZA HEIGHTS,"Lot 5 Blk. 61 LEVERIZA HEIGHTS ISABANG, TAYABAS CITY, QUEZON, 4327",Town House,T-528393,36,46,1148900,Occupied,1,5,Negotiated Sale,2026-07-13T00:00:00,2026-07-17T23:59:00,04/15/2025 00:00:00,08/09/2023 00:00:00,,OCCUPIED - TITLE UNDER CONSOLIDATION,TAYABAS CITY,CALAMBA HOUSING HUB,(02)8422-3000 local 6410 or 6403,"edmacale@pagibigfund.gov.ph, abbergancia@pagibigfund.gov.ph",PSD-04-224272,TAYABAS CITY
846202410280031,15316,LEVERIZA HEIGHTS SUBDIVISION                      ,"Lot 2 Blk. 49 LEVERIZA HEIGHTS SUBDIVISION ISABANG, TAYABAS CITY, QUEZON, 4327",Row House,T-528118,60,45.5,1237000,Occupied,1,5,Negotiated Sale,2026-07-20T00:00:00,2026-07-24T23:59:00,05/13/2026 00:00:00,01/28/2025 00:00:00,,OCCUPIED - TITLE UNDER CONSOLIDATION,TAYABAS CITY,CALAMBA HOUSING HUB,(02)8422-3000 local 6410 or 6403,"edmacale@pagibigfund.gov.ph, abbergancia@pagibigfund.gov.ph",PSD-04-224272,TAYABAS CITY
804619111400002,15315,STA. BARBARA HOMES                                ,"Lot 8 Blk. 17 STA. BARBARA HOMES ISABANG, TAYABAS CITY, QUEZON, 4327",Duplex with Eaves,T-376562,75,62.5,1324900,Occupied,1,5,Negotiated Sale,2026-07-13T00:00:00,2026-07-17T23:59:00,03/11/2025 00:00:00,02/20/2020 00:00:00,,OCCUPIED - TITLE UNDER CONSOLIDATION,TAYABAS CITY,CALAMBA HOUSING HUB,(02)8422-3000 local 6410 or 6403,"edmacale@pagibigfund.gov.ph, abbergancia@pagibigfund.gov.ph",PCS-04-016319,TAYABAS CITY
846202406280004,15316,LEVERIZA HEIGHTS SUBDIVISION                      ,"Lot 9 Blk. 89 Phase 3 LEVERIZA HEIGHTS SUBDIVISION ISABANG, TAYABAS CITY, QUEZON, 4327",Town House,066-2014010164,36,46,1423600,Occupied/Closed,1,5,Negotiated Sale,2026-07-20T00:00:00,2026-07-24T23:59:00,04/15/2025 00:00:00,07/24/2024 00:00:00,,OCCUPIED/CLOSED - TITLE UNDER CONSOLIDATION,TAYABAS CITY,CALAMBA HOUSING HUB,(02)8422-3000 local 6410 or 6403,"edmacale@pagibigfund.gov.ph, abbergancia@pagibigfund.gov.ph",PCS-04-027625,TAYABAS CITY
846202212220011,15316,VILLA CZARINA SUBDIVISION,"Lot 42 Blk. 3 VILLA CZARINA SUBDIVISION DOMOIT KANLURAN, TAYABAS CITY, QUEZON, 4327",Town House,066-2016007786,40,48,1440100,Occupied,1,5,Negotiated Sale,2026-07-20T00:00:00,2026-07-24T23:59:00,06/17/2026 00:00:00,01/12/2023 00:00:00,,OCCUPIED - TITLE UNDER CONSOLIDATION,TAYABAS CITY,CALAMBA HOUSING HUB,(02)8422-3000 local 6410 or 6403,"edmacale@pagibigfund.gov.ph, abbergancia@pagibigfund.gov.ph",PCS-04-029562,TAYABAS CITY
846202408190002,15315,VILLA CZARINA SUBDIVISION,"Lot 18 Blk. 11 VILLA CZARINA SUBDIVISION DOMOIT KANLURAN, TAYABAS CITY, QUEZON, 4327",Townhouse - End with Firewall,066-2016007964,46,48,1514300,Occupied/Closed,1,5,Negotiated Sale,2026-07-13T00:00:00,2026-07-17T23:59:00,04/15/2025 00:00:00,09/30/2024 00:00:00,,OCCUPIED/CLOSED - TITLE UNDER CONSOLIDATION,TAYABAS CITY,CALAMBA HOUSING HUB,(02)8422-3000 local 6410 or 6403,"edmacale@pagibigfund.gov.ph, abbergancia@pagibigfund.gov.ph",PCS-04-029562,TAYABAS CITY
847202605250007,OPA1510103,BELLAVITA ALAMINOS,"Lot 8 Blk. 45 BELLAVITA ALAMINOS SAN ANDRES, ALAMINOS, LAGUNA, 4001",Duplex with Eaves,075-2016007419,65,24,961600,Unoccupied,1,5,1st Public Auction,2026-07-20T00:00:00,2026-07-24T23:59:00,02/15/2025 00:00:00,06/02/2026 00:00:00,,UNOCCUPIED - TITLE UNDER CONSOLIDATION,ALAMINOS,CALAMBA HOUSING HUB,(02)8422-3000 local 6410 or 6403,"edmacale@pagibigfund.gov.ph, abbergancia@pagibigfund.gov.ph",PCS-04-030553,ALAMINOS
847202411280008,OPA1510102,RESIDENZA DE ALAMINOS,"Lot 30 Blk. 6 RESIDENZA DE ALAMINOS BARANGAY I (POB.), ALAMINOS, LAGUNA, 4001",Duplex with Eaves,075-2015002902,60,45,1156400,Occupied/Closed,1,5,1st Public Auction,2026-07-13T00:00:00,2026-07-17T23:59:00,10/31/2024 00:00:00,10/09/2025 00:00:00,,OCCUPIED/CLOSED - TITLE UNDER CONSOLIDATION,ALAMINOS,CALAMBA HOUSING HUB,(02)8422-3000 local 6410 or 6403,"edmacale@pagibigfund.gov.ph, abbergancia@pagibigfund.gov.ph",PCS-04-027361,ALAMINOS
